id,standard_name,clause_number,content,review_type,risk_level
bf5311e4-b988-4d8c-b02b-421cbd97f572,历史专家建议,5,复核占用河湖空间情况；,计算结果准确性,中风险
17203925-1bac-4021-b807-732f56fcd4b9,历史专家建议,7,复核高程系统转换系数；,计算正确性,中风险
ae676538-ba65-41f0-a99f-9ad8dec6f36b,历史专家建议,8,项目为已完工项目，明确电力保护范围线内后期是否涉及水利建设内容。,内容完整性,中风险
49bb4b8d-918f-4a65-babb-bacbe71cf068,历史专家建议,9,完善工作井坐标标注。,内容完整性,中风险
66055c8f-77dc-4caa-acb1-86c386b60a0a,河道管理范围内建设项目防洪评价报告编制导则,1.0.3,防洪评价报告主要包括：概述、基本情况、河道演变、防洪评价分析与计算、防洪综合评价、消除和减轻影响措施、结论与建议等。,内容完整性,中风险
82045edc-88f1-4c9c-8441-e11730b55fa3,河道管理范围内建设项目防洪评价报告编制导则,1.0.4,防洪评价报告所采用的各项基础资料和数据应具有可靠性、合理性和一致性。,前后逻辑一致性,中风险
a8d1c701-71b4-4b2d-aa2e-445ff47f95b8,河道管理范围内建设项目防洪评价报告编制导则,1.0.5,位于重要河段或河势变化剧烈河段的建设项目，应进行数值模拟计算或河工模型试验分析。,措施遵从性,中风险
633ef13c-14fa-40c6-9406-aa56eefca93d,河道管理范围内建设项目防洪评价报告编制导则,2.0.1,建设项目背景应主要包括下列内容：1 建设项目的名称、地理位置等。2 建设项目的必要性和选址的合理性，项目前期工作等。3 建设项目及涉河工程建设方案总体布局、规模，占用河湖空间情况等。,内容完整性,中风险
e51bdbd5-7c69-4dfb-8b02-2cf7ceedbdd9,河道管理范围内建设项目防洪评价报告编制导则,2.0.2,评价依据应主要包括下列内容：1 国家有关法律、行政法规、地方性法规、规章。2 有关技术规范规程和技术标准。3 有关经批准的规划文件，包括建设项目所在流域的综合规划、防洪规划、岸线保护与利用规划、治导线规划、河道(口)整治等水利及相关专业规划。4 建设项目前期工作的有关文件等。,内容完整性,中风险
d21b1786-32fa-4327-ae3b-7328a1f4178c,河道管理范围内建设项目防洪评价报告编制导则,3.0.2,河道基本情况应主要包括下列内容：1 流域概况：自然地理、水文气象、社会经济情况等。2 所在河道基本情况：流域面积、河道长度、主要支流、水利工程布局，河道现状及规划治理标准、河口治理；历史洪(潮)水、冰凌情况等。3 所在河段基本情况：河道断面形态(包括堤防、滩地、主槽等)、险工、工程位置以上流域面积、河道地质、河势形态情况等；现状和规划防洪标准、防洪调度及相应水(潮)位、流量，历史最高(低)水位情况等。,内容完整性,中风险
8d3dd2fa-6f1f-4505-9c44-6330fbf04c4a,河道管理范围内建设项目防洪评价报告编制导则,3.0.3,水利工程及其他设施基本情况应主要包括下列内容：1 水利工程：影响分析范围内河道堤防现状及规划工程、护坡护岸工程、控导工程、拦河闸坝、泵站工程、取(排)水设施、水文监测设施等位置(桩号)、规模、防洪标准及相应的水位、流量等指标；拦河闸坝工程调度控制运行方案等。2 其他设施：影响分析范围内跨河、穿河、穿堤、临河的桥梁、渡槽、码头、道路、渡口、管道、缆线、隧道、航道整治、生态修复、景观等工程设施的位置(桩号)、规模、防洪标准及相应的水位、流量等指标。,内容完整性,中风险
374b1e39-47be-4458-bd97-733c78e4fb26,河道管理范围内建设项目防洪评价报告编制导则,3.0.4,水利规划及实施安排应主要包括下列内容：1 简述影响分析范围内有关的流域综合规划、防洪规划、岸线保护和利用规划、河道(口)整治规划等水利规划的总体布局、规划内容和实施安排；说明建设项目与上述规划的关系。2 简述建设项目所在河段具体规划内容及实施安排。3 简述建设项目实施及运行对上述规划可能产生影响情况。,内容完整性,中风险
f60a4485-ff45-4552-8ef8-ec48bdf33314,历史专家建议,3,复核电力管线穿河处的防洪标准、防洪水位及两岸的堤防等级。,前后逻辑一致性,中风险
0f4a35b1-b36a-48ef-bc2d-b336b72f3372,历史专家建议,10,增加从最靠近河道结构处起标到堤防内坡脚（东岸可以采用堤防虚拟断面内坡脚）尺寸。,计算正确性,低风险
c2cab188-7c3e-4c9a-a01c-a74421b0004e,历史专家建议,4,补充河流新建堤防对点力管线的影响评价（从电力管线保护条例和定向钻施工误差的角度来分析）。,措施遵从性,低风险
2ef2363c-c910-4881-96ce-c95a87ec2a12,历史专家建议,2,补充项目涉及河流两侧区域的水情调度方案。,措施遵从性,低风险
fe125e5c-7ba3-4f40-8c9f-80bc9fd9e4aa,历史专家建议,6,完善编制依据；,内容完整性,低风险
373978a4-3c94-47bb-a04b-fcfc9d0c8fc1,河道管理范围内建设项目防洪评价报告编制导则,4.0.1,应分析建设项目所在河段的历史演变、近期演变情况及河道演变趋势。,内容完整性,中风险
c69c4c16-d19b-4d53-8696-90fb37ea3db2,河道管理范围内建设项目防洪评价报告编制导则,4.0.3,无水文泥沙资料河道上的建设项目，应在调查研究的基础上分析河道近期演变特点。,措施遵从性,中风险
b6b78bf2-22c0-4367-8fe5-1ca61fb39f1e,河道管理范围内建设项目防洪评价报告编制导则,4.0.5,位于重要河段或河势变化剧烈河段的建设项目，应采用数值模拟计算或河工模型试验方法预测河道演变趋势。,措施遵从性,中风险
c9ee7a7f-6022-4db1-afce-40b54374a200,河道管理范围内建设项目防洪评价报告编制导则,5.1.1,建设项目防洪评价分析计算工况应包括下列内容：1 建设项目所在河道现状及规划的防洪标准对应工况。2 建设项目设计防洪标准对应工况。3 建设项目施工期洪水标准对应工况。4 其他工况。,内容完整性,中风险
8aa53492-a22d-43cc-9e5a-29149fff2d22,河道管理范围内建设项目防洪评价报告编制导则,5.1.2,建设项目防洪评价分析计算应主要包括下列内容：1 水文分析计算。2 对可能影响洪水下泄的建设项目，应进行壅水、河道行洪能力及排涝影响分析计算。3 对河道冲淤变化可能产生影响的建设项目，应进行冲淤分析计算；对河势可能产生影响时，还应进行河势影响分析。4 对河道岸坡、堤坡可能产生影响的建设项目，应进行稳定分析计算。5 施工期壅水及河道行洪能力分析计算。,内容完整性,中风险
0b9011b2-ccce-4c7e-8379-ed86e95643f7,河道管理范围内建设项目防洪评价报告编制导则,5.1.3,位于重要河段或河势变化剧烈河段的建设项目，应进行数值模拟计算或河工模型试验。,措施遵从性,中风险
ee87cfb4-57b0-46b5-9269-d9b250e95834,河道管理范围内建设项目防洪评价报告编制导则,5.2.1,水文分析计算主要包括不同频率下相应防洪标准的水位、流量，多沙河流应包括泥沙相关计算成果。计算成果应进行合理性分析。,计算结果准确性,中风险
6b9c11f9-59b8-4213-990e-6aefe3148384,河道管理范围内建设项目防洪评价报告编制导则,5.3.1,壅水和行洪能力分析计算应主要包括：阻水比、壅水高度、壅水范围和工程建设前后河道行洪能力变化。,内容完整性,中风险
5ebb325b-c934-415a-9279-fb16099a96be,河道管理范围内建设项目防洪评价报告编制导则,5.4.2,采用数值模拟计算或河工模型试验方法时，应根据实测资料情况，进行模型的率定和验证。冲刷淤积分析成果应包括深(厚)度、时空分布特征、总量等内容。成果精度应符合有关标准要求。,计算结果准确性,中风险
a33cf694-5195-49a9-a4b8-66dd870b8ab6,河道管理范围内建设项目防洪评价报告编制导则,5.5.1,建设项目涉及下列情形，应进行堤防稳定计算：1 建筑物穿越堤身或堤基。2 支墩(柱)位于堤防管理范围内。3 建设项目利用堤顶作为交通通道的。4 其他可能影响堤防稳定的情形。,措施遵从性,中风险
d9153593-faa0-484b-a6cc-aba6f331c2e7,河道管理范围内建设项目防洪评价报告编制导则,5.5.3,建设项目可能影响岸坡稳定时，应进行岸坡稳定分析计算。,措施遵从性,中风险
fa79c46b-3ef3-4ac3-bd93-3d2372fb2c11,河道管理范围内建设项目防洪评价报告编制导则,5.6.1,对可能影响现有水利工程安全稳定的建设项目，还应进行工程施工期及运行期的结构安全、稳定安全复核等计算。,措施遵从性,中风险
8954c47d-6b94-411f-ad02-5651c1ff8731,河道管理范围内建设项目防洪评价报告编制导则,5.6.2,涉及河口及感潮河段，潮汐动力的改变可能对防洪、排涝及河道(口)稳定有影响的，应同时进行潮汐动力影响分析。,措施遵从性,中风险
7e024269-2c7e-485b-8ff1-6fe65a784851,河道管理范围内建设项目防洪评价报告编制导则,6.1.2,防洪综合评价应主要包括下列内容：1 建设项目与有关规划符合性评价。2 建设项目防洪标准和有关技术要求符合性评价。3 建设项目对河道行洪的影响评价。4 建设项目对河势稳定影响评价。5 建设项目对堤防安全、岸坡稳定及其他水利工程影响评价。6 建设项目对水利工程运行管理和防汛抢险的影响评价。7 建设项目施工期影响评价。8 建设项目对第三人合法水事权益的影响评价。,内容完整性,中风险
7702cbc4-fe45-46a4-85c1-f261aebda6b0,河道管理范围内建设项目防洪评价报告编制导则,6.4.2,建设项目占用湖泊、水库水域空间时，应定量分析对行洪、蓄洪能力的影响及占用容积、面积影响。,措施遵从性,中风险
86fed64a-144d-4f49-ac33-11a55cc7668a,河道管理范围内建设项目防洪评价报告编制导则,6.5.3,位于重要河段或河势变化剧烈河段的建设项目，应根据数值模拟计算或河工模型试验结果，结合河道演变分析进行定量评价，明确影响范围和位置。,措施遵从性,中风险
834b756a-c86d-483f-93ec-7b05115f573f,河道管理范围内建设项目防洪评价报告编制导则,6.8.5,建设项目确需跨汛期施工，应明确施工度汛方案，并评价对水利工程安全及运行管理的影响。,措施遵从性,中风险
12eb71e7-37f7-4a8e-b8e8-ceb52ebca053,河道管理范围内建设项目防洪评价报告编制导则,7.0.4,消除和减轻影响的措施应估算工程量和投资，与建设项目主体工程同步实施。,措施遵从性,中风险
31f1ea7b-4216-4599-b032-4528598ffbac,河道管理范围内建设项目防洪评价技术规程,4.1,"建设项目应收集水利等相关行业规划、设计,以及地形、地质、水文、泥沙等方面的基本资料。收集的水利规划、设计等基本资料,应为县级及以上主管部门认可的资料。收集的地形、地质、水文、泥沙等资料应为具备相应资质单位提供的资料。",内容完整性,中风险
1c486056-fffb-49d8-bd25-023c7dbc1231,河道管理范围内建设项目防洪评价技术规程,5.2,"建设项目选址应选择河道顺直稳定、河床地质条件良好的河段,宜避开急流、急弯、分流、汇流等河势不稳定河段。邻近堤防险工险段、现有和规划建设的水利工程设施、水文站点和常设水文观测断面、防汛设施等的建设项目选址,应满足相关规定。",措施遵从性,中风险
187180d2-7b5d-4d67-84df-da4a08a67cb3,河道管理范围内建设项目防洪评价技术规程,5.3,"建设项目不应危害堤防安全,妨碍行洪安全,阻碍防洪抢险,影响河势稳定,不应影响水利工程的正常使用和安全,不应影响第三人合法水事权益。",禁止条款,高风险
fb0a25f3-9416-4dbc-bd7a-4cc8ba417522,河道管理范围内建设项目防洪评价技术规程,5.4,"对河势稳定、行洪安全、邻近水利工程安全造成不利影响的建设项目,应在防洪评价报告中提出消除和减轻影响措施方案。对影响较大的建设项目、消除和减轻影响措施应进行专项设计。消除和减轻影响措施应与主体工程同步设计、同步施工、同步投入使用,所需投资应列入工程概算,涉及土地或生态红线等问题的,应与主体工程设计同步提出解决方案。",措施遵从性,中风险
